frac, num_similar_relevant,num_similar_irrelevant,similarity_threshold_relevant,similarity_threshold_irrelevant, num_words_relevant, num_words_irrelevant, true_positive,true_negative,false_positive,false_negative,accuracy,precision,recall,f1_score

single,3,1,0.6,0.8,60,50,77,226,107,86,0.6108870967741935,0.41847826086956524,0.4723926380368098,0.4438040345821325

single,3,1,0.6,0.8,60,50,90,274,142,93,0.6076794657762938,0.3879310344827586,0.4918032786885246,0.43373493975903615

single,3,1,0.6,0.8,60,50,77,226,110,86,0.6072144288577155,0.4117647058823529,0.4723926380368098,0.43999999999999995

single,3,1,0.6,0.8,60,50,78,224,112,85,0.6052104208416834,0.4105263157894737,0.4785276073619632,0.44192634560906513

single,3,1,0.6,0.8,50,50,25,141,20,53,0.694560669456067,0.5555555555555556,0.32051282051282054,0.40650406504065045
single,3,1,0.6,0.8,50,60,4,155,6,74,0.6652719665271967,0.4,0.05128205128205128,0.09090909090909091
single,3,1,0.6,0.8,50,70,1,160,1,77,0.6736401673640168,0.5,0.01282051282051282,0.025
single,3,1,0.6,0.8,70,60,57,112,49,21,0.7071129707112971,0.5377358490566038,0.7307692307692307,0.6195652173913043
single,3,1,0.6,0.8,70,70,18,149,12,60,0.698744769874477,0.6,0.23076923076923078,0.33333333333333337
single,3,1,0.6,0.8,80,50,74,46,115,4,0.502092050209205,0.3915343915343915,0.9487179487179487,0.5543071161048689
single,3,1,0.6,0.8,80,60,65,75,86,13,0.5857740585774058,0.4304635761589404,0.8333333333333334,0.5676855895196506
single,3,1,0.6,0.8,90,70,59,87,74,19,0.6108786610878661,0.44360902255639095,0.7564102564102564,0.5592417061611374
single,3,1,0.6,0.8,100,80,56,101,60,22,0.6569037656903766,0.4827586206896552,0.717948717948718,0.577319587628866
single,3,1,0.6,0.8,50,50,25,141,20,53,0.694560669456067,0.5555555555555556,0.32051282051282054,0.40650406504065045
single,3,1,0.6,0.8,50,55,11,154,7,67,0.6903765690376569,0.6111111111111112,0.14102564102564102,0.22916666666666669
single,3,1,0.6,0.8,50,60,4,155,6,74,0.6652719665271967,0.4,0.05128205128205128,0.09090909090909091
single,3,1,0.6,0.8,50,65,2,158,3,76,0.6694560669456067,0.4,0.02564102564102564,0.048192771084337345
single,3,1,0.6,0.8,50,70,1,160,1,77,0.6736401673640168,0.5,0.01282051282051282,0.025
single,3,1,0.6,0.8,50,75,0,161,0,78,0.6736401673640168,0,0.0,0
single,3,1,0.6,0.8,50,80,0,161,0,78,0.6736401673640168,0,0.0,0
single,3,1,0.6,0.8,50,85,0,161,0,78,0.6736401673640168,0,0.0,0
single,3,1,0.6,0.8,50,90,0,161,0,78,0.6736401673640168,0,0.0,0
single,3,1,0.6,0.8,50,95,0,161,0,78,0.6736401673640168,0,0.0,0
single,3,1,0.6,0.8,50,100,0,161,0,78,0.6736401673640168,0,0.0,0
single,3,1,0.6,0.8,50,105,0,161,0,78,0.6736401673640168,0,0.0,0
single,3,1,0.6,0.8,50,110,0,161,0,78,0.6736401673640168,0,0.0,0
single,3,1,0.6,0.8,50,115,0,161,0,78,0.6736401673640168,0,0.0,0
single,3,1,0.6,0.8,55,50,40,119,42,38,0.6652719665271967,0.4878048780487805,0.5128205128205128,0.5
single,3,1,0.6,0.8,55,55,25,142,19,53,0.698744769874477,0.5681818181818182,0.32051282051282054,0.4098360655737705
single,3,1,0.6,0.8,55,60,11,151,10,67,0.6778242677824268,0.5238095238095238,0.14102564102564102,0.2222222222222222
